#Model: R* = 1050.0000   M* = 0.7000  L* = 3.0000e+04  C/O = 1.4000
#r/R*           	r(cm)           	rho(g/cm3)      	p(dyn/cm2)      	T_gas(K)        	T_dust(K)       	v(cm/s)         
1.0000000000e+00	7.2901900000e+13	7.1784800000e-11	9.6254077121e+00	2.7996954363e+03	2.8981572391e+03	9.6721600000e+01
1.0115790000e+00	7.3746100000e+13	6.5154450000e-11	6.2225327864e+00	2.8215746009e+03	2.8859446303e+03	7.6971820000e+01
1.0232930000e+00	7.4599990000e+13	5.8495260000e-11	4.9011905887e+00	2.8145827263e+03	2.8730724225e+03	7.7076400000e+01
1.0351420000e+00	7.5463820000e+13	5.2364070000e-11	4.1068161906e+00	2.7993977634e+03	2.8601851939e+03	8.4139040000e+01
1.0471290000e+00	7.6337690000e+13	4.5311580000e-11	3.4096110709e+00	2.7818939148e+03	2.8479170424e+03	9.5077710000e+01
1.0592540000e+00	7.7221590000e+13	3.8591230000e-11	2.8163568200e+00	2.7644130472e+03	2.8365363292e+03	1.0919960000e+02
1.0715190000e+00	7.8115820000e+13	3.2527460000e-11	2.3168755234e+00	2.7477972419e+03	2.8261144498e+03	1.2653710000e+02
1.0839270000e+00	7.9020320000e+13	2.7238460000e-11	1.9016187649e+00	2.7324223679e+03	2.8166406446e+03	1.4756900000e+02
1.0964780000e+00	7.9935320000e+13	2.2737790000e-11	1.5604761869e+00	2.7183778907e+03	2.8080499967e+03	1.7303190000e+02
1.1091750000e+00	8.0860930000e+13	1.8908360000e-11	1.2778508540e+00	2.7056267593e+03	2.8002602917e+03	2.0329330000e+02
1.1220180000e+00	8.1797270000e+13	1.5669480000e-11	1.0445767797e+00	2.6940814751e+03	2.7931886361e+03	2.3920490000e+02
1.1350110000e+00	8.2744440000e+13	1.3000330000e-11	8.5575422748e-01	2.6836109882e+03	2.7867498028e+03	2.8238720000e+02
1.1481540000e+00	8.3702590000e+13	1.0762640000e-11	7.0012650683e-01	2.6740623711e+03	2.7808624720e+03	3.3345620000e+02
1.1614490000e+00	8.4671780000e+13	8.8943940000e-12	5.7224888819e-01	2.6652989772e+03	2.7754582284e+03	3.9367880000e+02
1.1748980000e+00	8.5652230000e+13	7.3571830000e-12	4.6836220040e-01	2.6571759269e+03	2.7704737134e+03	4.6543790000e+02
1.1885020000e+00	8.6644060000e+13	6.0851090000e-12	3.8348742729e-01	2.6495498282e+03	2.7658536084e+03	5.5049290000e+02
1.2022640000e+00	8.7647370000e+13	5.0443680000e-12	3.1481534436e-01	2.6422840985e+03	2.7615504609e+03	6.5210580000e+02
1.2161860000e+00	8.8662260000e+13	4.1816260000e-12	2.5852490271e-01	2.6352507046e+03	2.7575239005e+03	7.7254060000e+02
1.2302690000e+00	8.9688920000e+13	3.4530280000e-12	2.1155403932e-01	2.6283513643e+03	2.7537413793e+03	9.1269760000e+02
1.2445150000e+00	9.0727500000e+13	2.8469670000e-12	1.7289977501e-01	2.6215152306e+03	2.7501758346e+03	1.0765130000e+03
1.2589250000e+00	9.1778040000e+13	2.3488070000e-12	1.4143262719e-01	2.6146850321e+03	2.7468033736e+03	1.2692160000e+03
1.2735030000e+00	9.2840830000e+13	1.9509360000e-12	1.1647838364e-01	2.6078006509e+03	2.7436012554e+03	1.5022200000e+03
1.2882500000e+00	9.3915860000e+13	1.6179400000e-12	9.5796628062e-02	2.6008193232e+03	2.7405517711e+03	1.7752760000e+03
1.3031670000e+00	9.5003320000e+13	1.3404600000e-12	7.8724455286e-02	2.5937334511e+03	2.7376402302e+03	2.0950960000e+03
1.3182570000e+00	9.6103410000e+13	1.1100070000e-12	6.4671742050e-02	2.5865539228e+03	2.7348540673e+03	2.4694600000e+03
1.3335210000e+00	9.7216260000e+13	9.1906780000e-13	5.3127690895e-02	2.5793065164e+03	2.7321826622e+03	2.9074890000e+03
1.3489630000e+00	9.8341940000e+13	7.6107760000e-13	4.3655975926e-02	2.5720285408e+03	2.7296169882e+03	3.4200030000e+03
1.3645830000e+00	9.9480670000e+13	6.3042970000e-13	3.5888023632e-02	2.5647636320e+03	2.7271487617e+03	4.0199120000e+03
1.3803840000e+00	1.0063260000e+14	5.2477410000e-13	2.9647996938e-02	2.5575511640e+03	2.7247708953e+03	4.7342280000e+03
1.3963680000e+00	1.0179760000e+14	4.3682680000e-13	2.4496177784e-02	2.5504285985e+03	2.7224779171e+03	5.5701360000e+03
1.4125380000e+00	1.0297690000e+14	3.6367170000e-13	2.0243677120e-02	2.5434279376e+03	2.7202614923e+03	6.5469290000e+03
1.4288940000e+00	1.0416940000e+14	3.0285540000e-13	1.6735685168e-02	2.5365987945e+03	2.7181209976e+03	7.6880490000e+03
1.4454400000e+00	1.0537540000e+14	2.5231990000e-13	1.3842452538e-02	2.5299693773e+03	2.7160509558e+03	9.0202990000e+03
1.4621770000e+00	1.0659530000e+14	2.1031220000e-13	1.1456305549e-02	2.5235619990e+03	2.7140469640e+03	1.0575980000e+04
1.4791080000e+00	1.0782990000e+14	1.7539830000e-13	9.4874672702e-03	2.5173895468e+03	2.7121042061e+03	1.2390770000e+04
1.4962360000e+00	1.0907880000e+14	1.4636510000e-13	7.8624212991e-03	2.5114671294e+03	2.7102212372e+03	1.4507980000e+04
1.5135610000e+00	1.1034160000e+14	1.2220680000e-13	6.5199863943e-03	2.5058018169e+03	2.7083959529e+03	1.6976650000e+04
1.5310870000e+00	1.1161910000e+14	1.0209570000e-13	5.4101453851e-03	2.5003879692e+03	2.7066238260e+03	1.9854290000e+04
1.5488170000e+00	1.1291130000e+14	8.5329680000e-14	4.4917162174e-03	2.4952228258e+03	2.7049030808e+03	2.3210100000e+04
1.5667510000e+00	1.1421890000e+14	7.1339590000e-14	3.7307859440e-03	2.4902960111e+03	2.7032302592e+03	2.7123710000e+04
1.5848930000e+00	1.1554160000e+14	5.9664210000e-14	3.1001411343e-03	2.4856016735e+03	2.7016045237e+03	3.1684150000e+04
1.6032450000e+00	1.1687920000e+14	4.9922670000e-14	2.5775870724e-03	2.4811303990e+03	2.7000243044e+03	3.6989410000e+04
1.6218100000e+00	1.1823310000e+14	4.1803600000e-14	2.1449007059e-03	2.4768643279e+03	2.6984852549e+03	4.3140150000e+04
1.6405900000e+00	1.1960220000e+14	3.5053880000e-14	1.7874387755e-03	2.4728007612e+03	2.6969887590e+03	5.0227870000e+04
1.6595870000e+00	1.2098690000e+14	2.9463720000e-14	1.4930406030e-03	2.4689258054e+03	2.6955320299e+03	5.8318890000e+04
1.6788040000e+00	1.2238760000e+14	2.4854170000e-14	1.2514071866e-03	2.4652281843e+03	2.6941132685e+03	6.7442080000e+04
1.6982440000e+00	1.2380550000e+14	2.1090630000e-14	1.0549931236e-03	2.4616937236e+03	2.6927295229e+03	7.7635770000e+04
1.7179080000e+00	1.2523880000e+14	1.8032950000e-14	8.9592757847e-04	2.4583213933e+03	2.6913833020e+03	8.8858490000e+04
1.7378010000e+00	1.2668870000e+14	1.5517810000e-14	7.6555270162e-04	2.4550932998e+03	2.6900704753e+03	1.0098820000e+05
1.7579240000e+00	1.2815590000e+14	1.3442130000e-14	6.5837382421e-04	2.4519992836e+03	2.6887895472e+03	1.1394370000e+05
1.7782790000e+00	1.2964000000e+14	1.1721180000e-14	5.6985086055e-04	2.4490333939e+03	2.6875405087e+03	1.2763930000e+05
1.7988710000e+00	1.3114080000e+14	1.0287540000e-14	4.9639870913e-04	2.4461878095e+03	2.6863223490e+03	1.4197340000e+05
1.8197010000e+00	1.3266000000e+14	9.0862810000e-15	4.3508154851e-04	2.4434488774e+03	2.6851314036e+03	1.5685300000e+05
1.8407720000e+00	1.3419580000e+14	8.0937430000e-15	3.8453158071e-04	2.4408183119e+03	2.6839700187e+03	1.7223320000e+05
1.8620870000e+00	1.3574950000e+14	7.2479130000e-15	3.4167649020e-04	2.4382824041e+03	2.6828341208e+03	1.8804140000e+05
1.8836490000e+00	1.3732170000e+14	6.5224300000e-15	3.0506463620e-04	2.4358354674e+03	2.6817222049e+03	2.0416160000e+05
1.9054610000e+00	1.3891130000e+14	5.8960380000e-15	2.7359152017e-04	2.4334774886e+03	2.6806344618e+03	2.2046440000e+05
1.9275250000e+00	1.4051990000e+14	5.3669590000e-15	2.4710113255e-04	2.4311968098e+03	2.6795662637e+03	2.3683500000e+05
