#Wavelength (micron)	Flux (erg s-1 cm-2 micron-1)	 r2 F (cm2 erg s-1 cm-2 micron-1)
5.0045040536e+01	2.8515955375e+02	6.0334641003e+32
4.9945060434e+01	2.8861306794e+02	6.1065342592e+32
4.9845479015e+01	2.9089639748e+02	6.1548454120e+32
4.9746293901e+01	2.9359194191e+02	6.2118782919e+32
4.9645037978e+01	2.9626678287e+02	6.2684731234e+32
4.9546648169e+01	2.9823630387e+02	6.3101446510e+32
4.9448647579e+01	3.0068553468e+02	6.3619659769e+32
4.9348598500e+01	3.0391583275e+02	6.4303132835e+32
4.9251379039e+01	3.0630742231e+02	6.4809150241e+32
4.9152125829e+01	3.0928062604e+02	6.5438226762e+32
4.9055678195e+01	3.1267132468e+02	6.6155637706e+32
4.8957211397e+01	3.1494501138e+02	6.6636708984e+32
4.8859139102e+01	3.1743023262e+02	6.7162537172e+32
4.8761458943e+01	3.2030679238e+02	6.7771165562e+32
4.8664168573e+01	3.2280482716e+02	6.8299704866e+32
4.8567265663e+01	3.2637485841e+02	6.9055059372e+32
4.8470747904e+01	3.2773921141e+02	6.9343731967e+32
4.8372273013e+01	3.3108160507e+02	7.0050922447e+32
4.8276527952e+01	3.3473331043e+02	7.0823557728e+32
4.8181161166e+01	3.3796929467e+02	7.1508233886e+32
4.8083858249e+01	3.4244224343e+02	7.2454629523e+32
4.7989250408e+01	3.4377453951e+02	7.2736519449e+32
4.7892720307e+01	3.4665477488e+02	7.3345925533e+32
4.7796577765e+01	3.5086040290e+02	7.4235760903e+32
4.7700820454e+01	3.5287700072e+02	7.4662436789e+32
4.7605446063e+01	3.5627257339e+02	7.5380878992e+32
4.7510452300e+01	3.5923419420e+02	7.6007504774e+32
4.7415836890e+01	3.6136179441e+02	7.6457666774e+32
4.7321597577e+01	3.6603302329e+02	7.7446014924e+32
4.7227732124e+01	3.7348359597e+02	7.9022422315e+32
4.7132016779e+01	3.7264606434e+02	7.8845215662e+32
4.7038901171e+01	3.7622067040e+02	7.9601538114e+32
4.6943948925e+01	3.7911785325e+02	8.0214529982e+32
4.6851574213e+01	3.8290416004e+02	8.1015644507e+32
4.6757375976e+01	3.8661259816e+02	8.1800283422e+32
4.6663555763e+01	3.8994512944e+02	8.2505387198e+32
4.6572280179e+01	3.9281355264e+02	8.3112294041e+32
4.6479200558e+01	3.9633644008e+02	8.3857673764e+32
4.6386492253e+01	4.0037553665e+02	8.4712274068e+32
4.6292009999e+01	4.0369573817e+02	8.5414769089e+32
4.6200046200e+01	4.1110988940e+02	8.6983470355e+32
4.6108447068e+01	4.1031479186e+02	8.6815241991e+32
4.6017210437e+01	4.1379991703e+02	8.7552631897e+32
4.5924225029e+01	4.2733799089e+02	9.0417045224e+32
4.5833715281e+01	4.2027659598e+02	8.8922980861e+32
4.5741469216e+01	4.2463510549e+02	8.9845163208e+32
4.5649593719e+01	4.3285495931e+02	9.1584336674e+32
4.5558086560e+01	4.3193560149e+02	9.1389817067e+32
4.5466945531e+01	4.3762836733e+02	9.2594304095e+32
4.5378227526e+01	4.3987365886e+02	9.3069367464e+32
4.5285753102e+01	4.4517338484e+02	9.4190694316e+32
4.5195697370e+01	4.4803867606e+02	9.4796938486e+32
4.5105999098e+01	4.5148360948e+02	9.5525824539e+32
4.5016656163e+01	4.5628937647e+02	9.6542638537e+32
4.4925648052e+01	4.6154509126e+02	9.7654653411e+32
4.4837017442e+01	4.6520609850e+02	9.8429256802e+32
4.4746733488e+01	4.6857854345e+02	9.9142805596e+32
4.4656812397e+01	4.7327644251e+02	1.0013679668e+33
4.4569238312e+01	4.7867006784e+02	1.0127799094e+33
4.4480028467e+01	4.8229254839e+02	1.0204444278e+33
4.4391175034e+01	4.8603147839e+02	1.0283553323e+33
4.4302675882e+01	4.9102334491e+02	1.0389172255e+33
4.4214528894e+01	4.9349515618e+02	1.0441471342e+33
4.4124784892e+01	4.9973853813e+02	1.0573570093e+33
4.4037343667e+01	5.0201638688e+02	1.0621765283e+33
4.3950248319e+01	5.0785285167e+02	1.0745254397e+33
4.3861572876e+01	5.1401675635e+02	1.0875671552e+33
4.3775170723e+01	5.1614922916e+02	1.0920790847e+33
4.3687199651e+01	5.2433228452e+02	1.1093929604e+33
4.3599581444e+01	5.2539462745e+02	1.1116406873e+33
4.3512313985e+01	5.3014507536e+02	1.1216917821e+33
4.3425395171e+01	5.3697498052e+02	1.1361426349e+33
4.3338822918e+01	5.4070768619e+02	1.1440403699e+33
4.3252595156e+01	5.4612872566e+02	1.1555103159e+33
4.3166709833e+01	5.4660543162e+02	1.1565189401e+33
4.3079309008e+01	5.5632671336e+02	1.1770874267e+33
4.2994109807e+01	5.9650298403e+02	1.2620932010e+33
4.2907405818e+01	5.6558886932e+02	1.1966844855e+33
4.2822884550e+01	5.7066425285e+02	1.2074230856e+33
4.2736869097e+01	5.7574855890e+02	1.2181805643e+33
4.2651198499e+01	5.8129313925e+02	1.2299119007e+33
4.2565870685e+01	5.8558917849e+02	1.2390015482e+33
4.2482688305e+01	5.9037698388e+02	1.2491316847e+33
4.2396235214e+01	5.9604395533e+02	1.2611219787e+33
4.2311923500e+01	6.0046393982e+02	1.2704738722e+33
