#Model: R* = 1050.0000   M* = 0.7000  L* = 3.0000e+04  C/O = 1.4000
#r/R*           	r(cm)           	rho(g/cm3)      	p(dyn/cm2)      	T_gas(K)        	T_dust(K)       	v(cm/s)         
1.0000000000e+00	9.2428600000e+13	9.1431400000e-10	1.5109010796e+02	2.6904487819e+03	2.6956780821e+03	3.9066540299e+03
1.0028947500e+00	9.2696170000e+13	8.7760748502e-10	1.4409982036e+02	2.6780952770e+03	2.6848465034e+03	3.9289921300e+03
1.0057895000e+00	9.2963740000e+13	8.4237460847e-10	1.3743294321e+02	2.6657417722e+03	2.6740149247e+03	3.9513302301e+03
1.0086842500e+00	9.3231310000e+13	8.0855620890e-10	1.3107451371e+02	2.6533882674e+03	2.6631833460e+03	3.9736683301e+03
1.0115790000e+00	9.3498880000e+13	7.7609550000e-10	1.2501026132e+02	2.6410347625e+03	2.6523517673e+03	3.9960064302e+03
1.0145075000e+00	9.3769545000e+13	7.4341142115e-10	1.1931399895e+02	2.6332148936e+03	2.6416671848e+03	4.0315325450e+03
1.0174360000e+00	9.4040210000e+13	7.1210378246e-10	1.1387729450e+02	2.6253950247e+03	2.6309826023e+03	4.0670586598e+03
1.0203645000e+00	9.4310875000e+13	6.8211461724e-10	1.0868832089e+02	2.6175751558e+03	2.6202980199e+03	4.1025847745e+03
1.0232930000e+00	9.4581540000e+13	6.5338840000e-10	1.0373578990e+02	2.6097552869e+03	2.6096134374e+03	4.1381108893e+03
1.0262552500e+00	9.4855330000e+13	6.2537108853e-10	9.8837984703e+01	2.6007696413e+03	2.5990001922e+03	4.1712547522e+03
1.0292175000e+00	9.5129120000e+13	5.9855516010e-10	9.4171425595e+01	2.5917839957e+03	2.5883869470e+03	4.2043986152e+03
1.0321797500e+00	9.5402910000e+13	5.7288909938e-10	8.9725194471e+01	2.5827983502e+03	2.5777737018e+03	4.2375424782e+03
1.0351420000e+00	9.5676700000e+13	5.4832360000e-10	8.5488888715e+01	2.5738127046e+03	2.5671604566e+03	4.2706863411e+03
1.0381387500e+00	9.5953682500e+13	5.2449334467e-10	8.1413177812e+01	2.5652363624e+03	2.5569314028e+03	4.3058872516e+03
1.0411355000e+00	9.6230665000e+13	5.0169875708e-10	7.7531777767e+01	2.5566600202e+03	2.5467023489e+03	4.3410881622e+03
1.0441322500e+00	9.6507647500e+13	4.7989482692e-10	7.3835424747e+01	2.5480836780e+03	2.5364732950e+03	4.3762890728e+03
1.0471290000e+00	9.6784630000e+13	4.5903850000e-10	7.0315296573e+01	2.5395073358e+03	2.5262442412e+03	4.4114899833e+03
1.0501602500e+00	9.7064807500e+13	4.3899868713e-10	6.6980008818e+01	2.5317561362e+03	2.5166486844e+03	4.4504694816e+03
1.0531915000e+00	9.7344985000e+13	4.1983373355e-10	6.3802924824e+01	2.5240049366e+03	2.5070531275e+03	4.4894489800e+03
1.0562227500e+00	9.7625162500e+13	4.0150544636e-10	6.0776540463e+01	2.5162537370e+03	2.4974575707e+03	4.5284284783e+03
1.0592540000e+00	9.7905340000e+13	3.8397730000e-10	5.7893707550e+01	2.5085025374e+03	2.4878620139e+03	4.5674079766e+03
1.0623202500e+00	9.8188772500e+13	3.6761019408e-10	5.5226709571e+01	2.5014453346e+03	2.4789961049e+03	4.6098143354e+03
1.0653865000e+00	9.8472205000e+13	3.5194073919e-10	5.2682572582e+01	2.4943881318e+03	2.4701301960e+03	4.6522206942e+03
1.0684527500e+00	9.8755637500e+13	3.3693919781e-10	5.0255636728e+01	2.4873309290e+03	2.4612642871e+03	4.6946270529e+03
1.0715190000e+00	9.9039070000e+13	3.2257710000e-10	4.7940502886e+01	2.4802737262e+03	2.4523983781e+03	4.7370334117e+03
1.0746210000e+00	9.9325827500e+13	3.0855327786e-10	4.5644551384e+01	2.4721216747e+03	2.4441220723e+03	4.7762319787e+03
1.0777230000e+00	9.9612585000e+13	2.9513913193e-10	4.3458556870e+01	2.4639696231e+03	2.4358457665e+03	4.8154305457e+03
1.0808250000e+00	9.9899342500e+13	2.8230815697e-10	4.1377253318e+01	2.4558175716e+03	2.4275694608e+03	4.8546291127e+03
1.0839270000e+00	1.0018610000e+14	2.7003500000e-10	3.9395626902e+01	2.4476655201e+03	2.4192931550e+03	4.8938276797e+03
1.0870647500e+00	1.0047612500e+14	2.5882437511e-10	3.7627516631e+01	2.4411217221e+03	2.4116541784e+03	4.9406495733e+03
1.0902025000e+00	1.0076615000e+14	2.4807916438e-10	3.5938760699e+01	2.4345779240e+03	2.4040152018e+03	4.9874714669e+03
1.0933402500e+00	1.0105617500e+14	2.3778004591e-10	3.4325797613e+01	2.4280341260e+03	2.3963762253e+03	5.0342933605e+03
1.0964780000e+00	1.0134620000e+14	2.2790850000e-10	3.2785225725e+01	2.4214903280e+03	2.3887372487e+03	5.0811152541e+03
1.0996522500e+00	1.0163955000e+14	2.1786378915e-10	3.1190108167e+01	2.4135535863e+03	2.3815392982e+03	5.1232317463e+03
1.1028265000e+00	1.0193290000e+14	2.0826178323e-10	2.9672598739e+01	2.4056168447e+03	2.3743413477e+03	5.1653482384e+03
1.1060007500e+00	1.0222625000e+14	1.9908297071e-10	2.8228921528e+01	2.3976801031e+03	2.3671433972e+03	5.2074647306e+03
1.1091750000e+00	1.0251960000e+14	1.9030870000e-10	2.6855484336e+01	2.3897433614e+03	2.3599454467e+03	5.2495812228e+03
1.1123857500e+00	1.0281635000e+14	1.8190207057e-10	2.5554372997e+01	2.3823787155e+03	2.3531611203e+03	5.2955938549e+03
1.1155965000e+00	1.0311310000e+14	1.7386679262e-10	2.4316298716e+01	2.3750140696e+03	2.3463767939e+03	5.3416064870e+03
1.1188072500e+00	1.0340985000e+14	1.6618646220e-10	2.3138207433e+01	2.3676494238e+03	2.3395924676e+03	5.3876191190e+03
