#Model: R* = 1050.0000   M* = 0.7000  L* = 3.0000e+04  C/O = 1.4000
#r/R*           	r(cm)           	rho(g/cm3)      	p(dyn/cm2)      	T_gas(K)        	T_dust(K)       	v(cm/s)         
1.0000000000e+00	9.2428600000e+13	9.1431400000e-10	1.5109010796e+02	2.6904487819e+03	2.6956780821e+03	3.9066540299e+03
1.0115790000e+00	9.3498880000e+13	7.7609550000e-10	1.2501026132e+02	2.6410347625e+03	2.6523517673e+03	3.9960064302e+03
1.0232930000e+00	9.4581540000e+13	6.5338840000e-10	1.0373578990e+02	2.6097552869e+03	2.6096134374e+03	4.1381108893e+03
1.0351420000e+00	9.5676700000e+13	5.4832360000e-10	8.5488888715e+01	2.5738127046e+03	2.5671604566e+03	4.2706863411e+03
1.0471290000e+00	9.6784630000e+13	4.5903850000e-10	7.0315296573e+01	2.5395073358e+03	2.5262442412e+03	4.4114899833e+03
1.0592540000e+00	9.7905340000e+13	3.8397730000e-10	5.7893707550e+01	2.5085025374e+03	2.4878620139e+03	4.5674079766e+03
1.0715190000e+00	9.9039070000e+13	3.2257710000e-10	4.7940502886e+01	2.4802737262e+03	2.4523983781e+03	4.7370334117e+03
1.0839270000e+00	1.0018610000e+14	2.7003500000e-10	3.9395626902e+01	2.4476655201e+03	2.4192931550e+03	4.8938276797e+03
1.0964780000e+00	1.0134620000e+14	2.2790850000e-10	3.2785225725e+01	2.4214903280e+03	2.3887372487e+03	5.0811152541e+03
1.1091750000e+00	1.0251960000e+14	1.9030870000e-10	2.6855484336e+01	2.3897433614e+03	2.3599454467e+03	5.2495812228e+03
1.1220180000e+00	1.0370660000e+14	1.5884540000e-10	2.2017193056e+01	2.3602847779e+03	2.3328081412e+03	5.4336317511e+03
1.1350110000e+00	1.0490740000e+14	1.3350920000e-10	1.8152292921e+01	2.3307668913e+03	2.3069579604e+03	5.6200168573e+03
1.1481540000e+00	1.0612200000e+14	1.1108630000e-10	1.4933298475e+01	2.3088563731e+03	2.2828969933e+03	5.8626146456e+03
1.1614490000e+00	1.0735070000e+14	9.3819100000e-11	1.2146225911e+01	2.2652657946e+03	2.2582769332e+03	5.9533609454e+03
1.1748980000e+00	1.0859380000e+14	7.8034670000e-11	9.9281109956e+00	2.2395532724e+03	2.2344716614e+03	6.1855763861e+03
1.1885020000e+00	1.0985170000e+14	6.6135320000e-11	8.2100328922e+00	2.2101283502e+03	2.2113087674e+03	6.3831338672e+03
1.2022640000e+00	1.1112400000e+14	5.5106210000e-11	6.6585736181e+00	2.1789527652e+03	2.1883952012e+03	6.5775220729e+03
1.2161860000e+00	1.1241060000e+14	4.6801570000e-11	5.5057614191e+00	2.1502128839e+03	2.1659333925e+03	6.7883362848e+03
1.2302690000e+00	1.1371210000e+14	3.9127560000e-11	4.4337688964e+00	2.1146321229e+03	2.1432198479e+03	6.9378272484e+03
1.2445150000e+00	1.1502870000e+14	3.3264870000e-11	3.6602709707e+00	2.0864984908e+03	2.1209851022e+03	7.1659710076e+03
1.2589250000e+00	1.1636060000e+14	2.7938570000e-11	2.9785015208e+00	2.0572193843e+03	2.0991539658e+03	7.3962448449e+03
1.2735030000e+00	1.1770780000e+14	2.3746150000e-11	2.4398072554e+00	2.0264789143e+03	2.0776053243e+03	7.6058245273e+03
1.2882500000e+00	1.1907090000e+14	2.0054460000e-11	1.9918340414e+00	1.9979772765e+03	2.0565413565e+03	7.8638196986e+03
1.3031670000e+00	1.2045010000e+14	1.7025040000e-11	1.6333456844e+00	1.9700364283e+03	2.0359844914e+03	8.1410430238e+03
1.3182570000e+00	1.2184500000e+14	1.4469890000e-11	1.3333419980e+00	1.9397358975e+03	2.0157299999e+03	8.3956541075e+03
1.3335210000e+00	1.2325570000e+14	1.2253750000e-11	1.0893938688e+00	1.9121522183e+03	1.9960840719e+03	8.7228606818e+03
1.3489630000e+00	1.2468280000e+14	1.0488370000e-11	9.0020538604e-01	1.8857975499e+03	1.9771145323e+03	9.0903111906e+03
1.3645830000e+00	1.2612650000e+14	8.8511080000e-12	7.3401246963e-01	1.8594353420e+03	1.9588343030e+03	9.5031665060e+03
1.3803840000e+00	1.2758680000e+14	7.6336890000e-12	6.1270492723e-01	1.8351603992e+03	1.9413722769e+03	9.9748663361e+03
1.3963680000e+00	1.2906410000e+14	6.4868740000e-12	5.0338133023e-01	1.8096845089e+03	1.9245489927e+03	1.0480518629e+04
1.4125380000e+00	1.3055840000e+14	5.5750210000e-12	4.1965287660e-01	1.7864752137e+03	1.9085563682e+03	1.1075982202e+04
1.4288940000e+00	1.3207040000e+14	4.7767780000e-12	3.4996768023e-01	1.7649485679e+03	1.8933582467e+03	1.1770460133e+04
1.4454400000e+00	1.3360010000e+14	4.0821880000e-12	2.9115515334e-01	1.7434003991e+03	1.8788915686e+03	1.2530106946e+04
1.4621770000e+00	1.3514710000e+14	3.5277240000e-12	2.4507214565e-01	1.7224716831e+03	1.8651290688e+03	1.3367090641e+04
1.4791080000e+00	1.3671190000e+14	3.0199280000e-12	2.0474457593e-01	1.7022097573e+03	1.8520465100e+03	1.4310606602e+04
1.4962360000e+00	1.3829480000e+14	2.6109200000e-12	1.7290634070e-01	1.6826857217e+03	1.8396355022e+03	1.5355624983e+04
1.5135610000e+00	1.3989640000e+14	2.2543110000e-12	1.4602788956e-01	1.6638112027e+03	1.8278613995e+03	1.6522067823e+04
1.5310870000e+00	1.4151680000e+14	1.9342260000e-12	1.2274946754e-01	1.6455984027e+03	1.8167137002e+03	1.7826146774e+04
1.5488170000e+00	1.4315530000e+14	1.6852330000e-12	1.0482645381e-01	1.6280087419e+03	1.8061474964e+03	1.9260367212e+04
1.5667510000e+00	1.4481280000e+14	1.4583580000e-12	8.9024764153e-02	1.6108836217e+03	1.7960996380e+03	2.0854946620e+04
1.5848930000e+00	1.4648950000e+14	1.2605950000e-12	7.5595994963e-02	1.5942997195e+03	1.7865540357e+03	2.2622028927e+04
1.6032450000e+00	1.4818560000e+14	1.1007050000e-12	6.4873690306e-02	1.5781299944e+03	1.7774658965e+03	2.4566747276e+04
1.6218100000e+00	1.4990140000e+14	9.5663860000e-13	5.5464924597e-02	1.5623556080e+03	1.7687959809e+03	2.6720156907e+04
1.6405900000e+00	1.5163700000e+14	8.3101070000e-13	4.7433568084e-02	1.5470111600e+03	1.7605256741e+03	2.9100564803e+04
1.6595870000e+00	1.5339340000e+14	7.2866750000e-13	4.0961039052e-02	1.5319985440e+03	1.7526165746e+03	3.1720246855e+04
1.6788040000e+00	1.5516980000e+14	6.3684870000e-13	3.5285059920e-02	1.5174148830e+03	1.7450455612e+03	3.4619888328e+04
1.6982440000e+00	1.5696640000e+14	5.5561280000e-13	3.0366162958e-02	1.5033149773e+03	1.7700028399e+03	3.7832704174e+04
1.7179080000e+00	1.5878380000e+14	4.8907780000e-13	2.6373476762e-02	1.4894865316e+03	1.7884687995e+03	4.1368413952e+04
1.7378010000e+00	1.6062230000e+14	4.3005820000e-13	2.2895761508e-02	1.4760677840e+03	1.7892175518e+03	4.5285522355e+04
1.7579240000e+00	1.6248220000e+14	3.7768780000e-13	1.9863506983e-02	1.4630248420e+03	1.7635577648e+03	4.9633425388e+04
1.7782790000e+00	1.6436420000e+14	3.3244150000e-13	1.7281062339e-02	1.4504198517e+03	1.7365499715e+03	5.4468675191e+04
1.7988710000e+00	1.6626740000e+14	2.9410270000e-13	1.5118098266e-02	1.4382527558e+03	1.7196855451e+03	5.9854388099e+04
1.8197010000e+00	1.6819240000e+14	2.5992200000e-13	1.3219661222e-02	1.4265112860e+03	1.7091317174e+03	6.5882865126e+04
1.8407720000e+00	1.7013980000e+14	2.2963870000e-13	1.1563052431e-02	1.4153096590e+03	1.7020775745e+03	7.2676433273e+04
1.8620870000e+00	1.7210980000e+14	2.0322670000e-13	1.0136362512e-02	1.4045882124e+03	1.6982594476e+03	8.0381817391e+04
1.8836490000e+00	1.7410330000e+14	1.8069160000e-13	8.9315627080e-03	1.3943658585e+03	1.6965942649e+03	8.9218564862e+04
1.9054610000e+00	1.7611940000e+14	1.6061310000e-13	7.8721716649e-03	1.3846721194e+03	1.6962683613e+03	9.9511038593e+04
1.9275250000e+00	1.7815860000e+14	1.4278540000e-13	6.9431178939e-03	1.3755034545e+03	1.6970713836e+03	1.1171423213e+05
1.9498450000e+00	1.8022130000e+14	1.2699450000e-13	6.1306077862e-03	1.3670178185e+03	1.6982441594e+03	1.2650770800e+05
1.9724230000e+00	1.8230800000e+14	1.1322280000e-13	5.4278215061e-03	1.3588544561e+03	1.6998183764e+03	1.4464009762e+05
1.9952620000e+00	1.8441960000e+14	1.0126130000e-13	4.8234713600e-03	1.3513198853e+03	1.7003179510e+03	1.6707255384e+05
2.0183660000e+00	1.8655510000e+14	9.0615760000e-14	4.2895795759e-03	1.3439678731e+03	1.6980467061e+03	1.9452854900e+05
2.0417380000e+00	1.8871510000e+14	8.1161570000e-14	3.8187280342e-03	1.3367787117e+03	1.6915459974e+03	2.3449919037e+05
2.0653800000e+00	1.9090010000e+14	7.2778770000e-14	3.4030037950e-03	1.3294539023e+03	1.6795508894e+03	2.7493244969e+05
2.0892960000e+00	1.9311050000e+14	6.5351160000e-14	3.0358168278e-03	1.3218378065e+03	1.6616554072e+03	3.1026687567e+05
2.1134890000e+00	1.9534640000e+14	5.8773410000e-14	2.7114447776e-03	1.3138280613e+03	1.6380738933e+03	3.4152047991e+05
2.1379620000e+00	1.9760910000e+14	5.3041980000e-14	2.4292310932e-03	1.3054267711e+03	1.6102991119e+03	3.6920286833e+05
2.1627190000e+00	1.9989720000e+14	4.7964560000e-14	2.1799955137e-03	1.2966729674e+03	1.5807591521e+03	3.9357820397e+05
2.1877620000e+00	2.0221190000e+14	4.3379440000e-14	1.9561743276e-03	1.2876672714e+03	1.5520203739e+03	4.1524390863e+05
2.2130950000e+00	2.0455300000e+14	3.9368660000e-14	1.7610262297e-03	1.2784222822e+03	1.5254865556e+03	4.3497265559e+05
2.2387210000e+00	2.0692200000e+14	3.5807570000e-14	1.5885934594e-03	1.2689988553e+03	1.5016106704e+03	4.5350256770e+05
2.2646440000e+00	2.0931770000e+14	3.2633530000e-14	1.4355691375e-03	1.2593091817e+03	1.4801450510e+03	4.7141740930e+05
2.2908680000e+00	2.1174140000e+14	2.9801670000e-14	1.2999731787e-03	1.2496505130e+03	1.4606028834e+03	4.8911745689e+05
2.3173950000e+00	2.1419350000e+14	2.7262790000e-14	1.1792076307e-03	1.2399602241e+03	1.4425173046e+03	5.0689469894e+05
2.3442290000e+00	2.1667400000e+14	2.4968440000e-14	1.0707403378e-03	1.2301505167e+03	1.4255423343e+03	5.2491875811e+05
2.3713740000e+00	2.1918260000e+14	2.2981480000e-14	9.7697188402e-04	1.2201866164e+03	1.4093787375e+03	5.4326360430e+05
2.3988330000e+00	2.2172040000e+14	2.1182150000e-14	8.9256511757e-04	1.2101126860e+03	1.3938274810e+03	5.6194863526e+05
2.4266100000e+00	2.2428770000e+14	1.9507800000e-14	8.1469586506e-04	1.1999227217e+03	1.3787743184e+03	5.8094972154e+05
2.4547090000e+00	2.2688530000e+14	1.8080050000e-14	7.4835867530e-04	1.1897722199e+03	1.3641089410e+03	6.0020632624e+05
2.4831330000e+00	2.2951280000e+14	1.6743500000e-14	6.8681021602e-04	1.1795374617e+03	1.3497990981e+03	6.1966503786e+05
2.5118860000e+00	2.3217040000e+14	1.5553670000e-14	6.3222939600e-04	1.1692622425e+03	1.3357945368e+03	6.3925826576e+05
2.5409730000e+00	2.3485870000e+14	1.4470880000e-14	5.8285564458e-04	1.1589560084e+03	1.3220625171e+03	6.5892248421e+05
2.5703960000e+00	2.3757790000e+14	1.3494790000e-14	5.3855700855e-04	1.1486318663e+03	1.3085887938e+03	6.7859344654e+05
2.6001600000e+00	2.4032890000e+14	1.2591570000e-14	4.9787826239e-04	1.1383017353e+03	1.2953482814e+03	6.9821555186e+05
2.6302680000e+00	2.4311220000e+14	1.1803240000e-14	4.6238129931e-04	1.1279741496e+03	1.2823481247e+03	7.1773684671e+05
2.6607250000e+00	2.4592760000e+14	1.1018830000e-14	4.2763855758e-04	1.1176710730e+03	1.2695733148e+03	7.3710462029e+05
2.6915350000e+00	2.4877520000e+14	1.0392080000e-14	3.9954929245e-04	1.1073982316e+03	1.2570176397e+03	7.5627720016e+05
2.7227010000e+00	2.5165570000e+14	9.7580730000e-15	3.7166452245e-04	1.0971742183e+03	1.2446794469e+03	7.7521943007e+05
2.7542290000e+00	2.5456970000e+14	9.1903110000e-15	3.4677696986e-04	1.0870585481e+03	1.2325594107e+03	7.9389468385e+05
2.7861210000e+00	2.5751760000e+14	8.6931580000e-15	3.2495603706e-04	1.0770043316e+03	1.2206460730e+03	8.1228461227e+05
2.8183830000e+00	2.6049950000e+14	8.1902470000e-15	3.0329600398e-04	1.0670161863e+03	1.2089455707e+03	8.3037069426e+05
2.8510180000e+00	2.6351600000e+14	7.7591740000e-15	2.8464592723e-04	1.0571017305e+03	1.1974598749e+03	8.4814118703e+05
2.8840320000e+00	2.6656740000e+14	7.3699300000e-15	2.6783222377e-04	1.0472452003e+03	1.1861695714e+03	8.6558801629e+05
2.9174270000e+00	2.6965420000e+14	6.9761800000e-15	2.5114231955e-04	1.0374538617e+03	1.1750747011e+03	8.8270573895e+05
2.9512090000e+00	2.7277660000e+14	6.6229370000e-15	2.3618486593e-04	1.0277384259e+03	1.1641941816e+03	8.9948953560e+05
2.9853830000e+00	2.7593510000e+14	6.3211440000e-15	2.2329798280e-04	1.0180810161e+03	1.1534969787e+03	9.1594014195e+05
3.0199520000e+00	2.7913020000e+14	6.0158560000e-15	2.1050391299e-04	1.0084764305e+03	1.1429851785e+03	9.3205934562e+05
3.0549210000e+00	2.8236230000e+14	5.7070330000e-15	1.9780936572e-04	9.9895828889e+02	1.1326759232e+03	9.4784648161e+05
3.0902950000e+00	2.8563190000e+14	5.4693150000e-15	1.8778790491e-04	9.8958260763e+02	1.1225480740e+03	9.6329479992e+05
3.1260790000e+00	2.8893940000e+14	5.2346610000e-15	1.7803670380e-04	9.8026524095e+02	1.1125805041e+03	9.7841342156e+05
3.1622780000e+00	2.9228520000e+14	4.9972900000e-15	1.6835774374e-04	9.7101372653e+02	1.1027829618e+03	9.9320809318e+05
3.1988950000e+00	2.9566970000e+14	4.7587100000e-15	1.5880459796e-04	9.6184264451e+02	1.0931680866e+03	1.0076843900e+06
3.2359370000e+00	2.9909320000e+14	4.5795350000e-15	1.5137699369e-04	9.5273356035e+02	1.0837182438e+03	1.0218493327e+06
3.2734070000e+00	3.0255640000e+14	4.3982850000e-15	1.4400017119e-04	9.4365848623e+02	1.0744110674e+03	1.0357121564e+06
3.3113110000e+00	3.0605960000e+14	4.2149370000e-15	1.3667574560e-04	9.3462493569e+02	1.0652544036e+03	1.0492791544e+06
3.3496540000e+00	3.0960340000e+14	4.0294650000e-15	1.2940565976e-04	9.2564465089e+02	1.0562572921e+03	1.0625574925e+06
