#Wavelength (micron)	Flux (erg s-1 cm-2 micron-1)	 r2 F (cm2 erg s-1 cm-2 micron-1)
5.0022510130e+01	8.1297212931e+01	2.7649570891e+32
4.9972515117e+01	8.1614440867e+01	2.7757461629e+32
4.9922619939e+01	7.7422605597e+01	2.6331798408e+32
4.9872824298e+01	7.8997559432e+01	2.6867447739e+32
4.9823127896e+01	8.4800265986e+01	2.8840975987e+32
4.9773530437e+01	8.2190853318e+01	2.7953502261e+32
4.9724031624e+01	7.9511479247e+01	2.7042234326e+32
4.9674631166e+01	8.4377683254e+01	2.8697253579e+32
4.9622866217e+01	8.3659321952e+01	2.8452935465e+32
4.9573666468e+01	8.7544335394e+01	2.9774247115e+32
4.9524564184e+01	8.4428645484e+01	2.8714586077e+32
4.9475559074e+01	8.6834522500e+01	2.9532836356e+32
4.9426650850e+01	8.8849684297e+01	3.0218202520e+32
4.9375401175e+01	9.4341068921e+01	3.2085848691e+32
4.9326690672e+01	8.5580447317e+01	2.9106319389e+32
4.9278076184e+01	9.6362529834e+01	3.2773357214e+32
4.9229557426e+01	8.3800374180e+01	2.8500908002e+32
4.9178715452e+01	8.7674200761e+01	2.9818414948e+32
4.9130392061e+01	8.4574576654e+01	2.8764217966e+32
4.9082163542e+01	8.6202141414e+01	2.9317760524e+32
4.9031625398e+01	8.7031826769e+01	2.9599940481e+32
4.8983590497e+01	8.8644252202e+01	3.0148334082e+32
4.8933255040e+01	9.0329685496e+01	3.0721558005e+32
4.8885412593e+01	8.3320178597e+01	2.8337591188e+32
4.8837663606e+01	9.0867233068e+01	3.0904380505e+32
4.8787627458e+01	9.3304661865e+01	3.1733361695e+32
4.8740069211e+01	8.7892171759e+01	2.9892547927e+32
4.8690232739e+01	9.3162096037e+01	3.1684874375e+32
4.8642864092e+01	8.8898657682e+01	3.0234858602e+32
4.8593226104e+01	8.7961094480e+01	2.9915988874e+32
4.8543689320e+01	8.8749574091e+01	3.0184154560e+32
4.8496605238e+01	9.0228247168e+01	3.0687058345e+32
4.8447265152e+01	9.4575778500e+01	3.2165674541e+32
4.8400367843e+01	1.0091759502e+02	3.4322556668e+32
4.8351223286e+01	1.4468158608e+02	4.9206899312e+32
4.8302178428e+01	8.8138626719e+01	2.9976368437e+32
4.8255561453e+01	9.4844055531e+01	3.2256916842e+32
4.8206710374e+01	9.3693632598e+01	3.1865652501e+32
4.8157958103e+01	1.0449932962e+02	3.5540721732e+32
4.8109304339e+01	1.2618734356e+02	4.2916918988e+32
4.8060748786e+01	9.2481592159e+01	3.1453431752e+32
4.8014596437e+01	1.0180762022e+02	3.4625258493e+32
4.7966231773e+01	9.9078107108e+01	3.3696938031e+32
4.7917964445e+01	9.9792049246e+01	3.3939753166e+32
4.7869794160e+01	1.1169516932e+02	3.7988061227e+32
4.7821720626e+01	1.0404036106e+02	3.5384624330e+32
4.7773743551e+01	9.8729200821e+01	3.3578273335e+32
4.7725862645e+01	1.0559086176e+02	3.5911957032e+32
4.7678077620e+01	1.0391794676e+02	3.5342990641e+32
4.7630388188e+01	9.5916447974e+01	3.2621642641e+32
4.7582794062e+01	1.0212484979e+02	3.4733149786e+32
4.7535294957e+01	1.0359029503e+02	3.5231554720e+32
4.7487890588e+01	9.8824006911e+01	3.3610517339e+32
4.7440580673e+01	1.1004223804e+02	3.7425891393e+32
4.7393364929e+01	9.9509344164e+01	3.3843603816e+32
4.7346243076e+01	1.2424912551e+02	4.2257721761e+32
4.7299214833e+01	1.0630716867e+02	3.6155576439e+32
4.7252279923e+01	1.0368342832e+02	3.5263229797e+32
4.7205438066e+01	1.0544163670e+02	3.5861204876e+32
4.7158688988e+01	1.1571905539e+02	3.9356604122e+32
4.7109812974e+01	1.0263765293e+02	3.4907556587e+32
4.7063253012e+01	9.9314212031e+01	3.3777238445e+32
4.7016784992e+01	1.0553131984e+02	3.5891706543e+32
4.6970408643e+01	1.0439505122e+02	3.5505256151e+32
4.6921921922e+01	1.0424213279e+02	3.5453247860e+32
4.6875732433e+01	1.0544141861e+02	3.5861130703e+32
4.6829633792e+01	1.0404708876e+02	3.5386912455e+32
4.6781437126e+01	1.0824653636e+02	3.6815164666e+32
4.6735523672e+01	1.0746957362e+02	3.6550915923e+32
4.6689700252e+01	1.0556808529e+02	3.5904210648e+32
4.6641791045e+01	1.0764949696e+02	3.6612108711e+32
4.6596151158e+01	1.0609935563e+02	3.6084898229e+32
4.6548433645e+01	1.1736487119e+02	3.9916353947e+32
4.6502976190e+01	1.1332149249e+02	3.8541181512e+32
4.6455449224e+01	1.0338238558e+02	3.5160843723e+32
4.6410173110e+01	1.0724501414e+02	3.6474542169e+32
4.6362835551e+01	1.2673548939e+02	4.3103346006e+32
4.6317739694e+01	1.1389220754e+02	3.8735284431e+32
4.6270590413e+01	1.0213200418e+02	3.4735583029e+32
4.6223537025e+01	1.1563350696e+02	3.9327508691e+32
4.6178711614e+01	1.1195182484e+02	3.8075350997e+32
4.6131844812e+01	1.1407322940e+02	3.8796850831e+32
4.6085073045e+01	1.1058932948e+02	3.7611959807e+32
4.6040515654e+01	1.1477150779e+02	3.9034338652e+32
4.5993928801e+01	1.0670365804e+02	3.6290424369e+32
4.5947436133e+01	1.2272813625e+02	4.1740426038e+32
4.5903144365e+01	1.1521698502e+02	3.9185847587e+32
4.5856834961e+01	1.1980824023e+02	4.0747355440e+32
4.5810618901e+01	1.0895490287e+02	3.7056083502e+32
4.5764495904e+01	1.1435887626e+02	3.8894000695e+32
4.5718465688e+01	1.3599323674e+02	4.6251950151e+32
4.5672527974e+01	1.1593763216e+02	3.9430943126e+32
4.5626682484e+01	1.1696355447e+02	3.9779864209e+32
