#Model: R* = 1050.0000   M* = 0.7000  L* = 3.0000e+04  C/O = 1.4000
#r/R*           	r(cm)           	rho(g/cm3)      	p(dyn/cm2)      	T_gas(K)        	T_dust(K)       	v(cm/s)         
1.0000000000e+00	7.2901900000e+13	9.3880842069e-10	1.6821075155e+02	2.7898865011e+03	2.7832692401e+03	8.0373299837e+01
1.0115790000e+00	7.3746100000e+13	9.0109916802e-10	1.5466109088e+02	2.7063743744e+03	2.7515971051e+03	8.1830463290e+01
1.0232930000e+00	7.4599990000e+13	8.1600592518e-10	1.4180704864e+02	2.7237438135e+03	2.7324866473e+03	8.8306706905e+01
1.0351420000e+00	7.5463820000e+13	7.6365636781e-10	1.3029846021e+02	2.6874987961e+03	2.7090993357e+03	9.2212127209e+01
1.0471290000e+00	7.6337690000e+13	7.0754920316e-10	1.1965160313e+02	2.6683062708e+03	2.6871063767e+03	9.7258577943e+01
1.0592540000e+00	7.7221590000e+13	6.5564662754e-10	1.0990088888e+02	2.6496225267e+03	2.6659233320e+03	1.0256856513e+02
1.0715190000e+00	7.8115820000e+13	6.0790363447e-10	1.0096801928e+02	2.6307482296e+03	2.6451990692e+03	1.0810551751e+02
1.0839270000e+00	7.9020320000e+13	5.6344669630e-10	9.2781321626e+01	2.6130923191e+03	2.6248817688e+03	1.1398014188e+02
1.0964780000e+00	7.9935320000e+13	5.2268359261e-10	8.5280091915e+01	2.5949099645e+03	2.6048508052e+03	1.2007215393e+02
1.1091750000e+00	8.0860930000e+13	4.8455311927e-10	7.8401250860e+01	2.5783113376e+03	2.5851457650e+03	1.2657232773e+02
1.1220180000e+00	8.1797270000e+13	4.4916441741e-10	7.2097277379e+01	2.5625193427e+03	2.5657425846e+03	1.3343621039e+02
1.1350110000e+00	8.2744440000e+13	4.1630199480e-10	6.6320793584e+01	2.5476127260e+03	2.5466374916e+03	1.4069206119e+02
1.1481540000e+00	8.3702590000e+13	3.8598736410e-10	6.1028260803e+01	2.5329249071e+03	2.5278222043e+03	1.4828729123e+02
1.1614490000e+00	8.4671780000e+13	3.5785977456e-10	5.6177674728e+01	2.5190129967e+03	2.5093319252e+03	1.5630168909e+02
1.1748980000e+00	8.5652230000e+13	3.3181470477e-10	5.1731957589e+01	2.5056778729e+03	2.4911991920e+03	1.6473281443e+02
1.1885020000e+00	8.6644060000e+13	3.0777883687e-10	4.7656954873e+01	2.4925915809e+03	2.4734480394e+03	1.7355452830e+02
1.2022640000e+00	8.7647370000e+13	2.8552174081e-10	4.3920498485e+01	2.4800414156e+03	2.4561159870e+03	1.8282457626e+02
1.2161860000e+00	8.8662260000e+13	2.6495613817e-10	4.0494110248e+01	2.4678226048e+03	2.4392320615e+03	1.9253037006e+02
1.2302690000e+00	8.9688920000e+13	2.4598851749e-10	3.7350914820e+01	2.4557345796e+03	2.4228080991e+03	2.0265519023e+02
1.2445150000e+00	9.0727500000e+13	2.2857133748e-10	3.4466105528e+01	2.4433441005e+03	2.4068333358e+03	2.1313258314e+02
1.2589250000e+00	9.1778040000e+13	2.1250489089e-10	3.1816470512e+01	2.4309636389e+03	2.3913029292e+03	2.2402805221e+02
1.2735030000e+00	9.2840830000e+13	1.9762568728e-10	2.9381153388e+01	2.4188485290e+03	2.3762131843e+03	2.3541107988e+02
1.2882500000e+00	9.3915860000e+13	1.8378052430e-10	2.7142479995e+01	2.4073638880e+03	2.3615707089e+03	2.4738334632e+02
1.3031670000e+00	9.5003320000e+13	1.7103381880e-10	2.5084554425e+01	2.3956713048e+03	2.3473597681e+03	2.5976928502e+02
1.3182570000e+00	9.6103410000e+13	1.5941929876e-10	2.3191275206e+01	2.3829214246e+03	2.3335112408e+03	2.7235061729e+02
1.3335210000e+00	9.7216260000e+13	1.4842761969e-10	2.1446821987e+01	2.3717810611e+03	2.3200605826e+03	2.8586037597e+02
1.3489630000e+00	9.8341940000e+13	1.3835135818e-10	1.9841358423e+01	2.3600452430e+03	2.3069669697e+03	2.9969892102e+02
1.3645830000e+00	9.9480670000e+13	1.2909069390e-10	1.8362056656e+01	2.3478108939e+03	2.2941772645e+03	3.1388709339e+02
1.3803840000e+00	1.0063260000e+14	1.2043812470e-10	1.6997632324e+01	2.3361130763e+03	2.2816840896e+03	3.2877906865e+02
1.3963680000e+00	1.0179760000e+14	1.1244527337e-10	1.5739577488e+01	2.3242254983e+03	2.2694572572e+03	3.4413513449e+02
1.4125380000e+00	1.0297690000e+14	1.0506012561e-10	1.4577737855e+01	2.3120489178e+03	2.2574833146e+03	3.5993786708e+02
1.4288940000e+00	1.0416940000e+14	9.8202080613e-11	1.3505116655e+01	2.2999202169e+03	2.2457282658e+03	3.7630839440e+02
1.4454400000e+00	1.0537540000e+14	9.1852834663e-11	1.2514310257e+01	2.2876203661e+03	2.2341413841e+03	3.9316401297e+02
1.4621770000e+00	1.0659530000e+14	8.5937549990e-11	1.1598289298e+01	2.2754503088e+03	2.2227076146e+03	4.1066308019e+02
1.4791080000e+00	1.0782990000e+14	8.0440640491e-11	1.0750748221e+01	2.2632138556e+03	2.2113994200e+03	4.2873685512e+02
1.4962360000e+00	1.0907880000e+14	7.5360979766e-11	9.9665717871e+00	2.2506194847e+03	2.2001862006e+03	4.4721620637e+02
1.5135610000e+00	1.1034160000e+14	7.0644499073e-11	9.2407200704e+00	2.2378942797e+03	2.1890463595e+03	4.6621684086e+02
1.5310870000e+00	1.1161910000e+14	6.6292789491e-11	8.5681179627e+00	2.2246693169e+03	2.1779326015e+03	4.8551387890e+02
1.5488170000e+00	1.1291130000e+14	6.2262155988e-11	7.9442988013e+00	2.2110867536e+03	2.1668122071e+03	5.0518002936e+02
1.5667510000e+00	1.1421890000e+14	5.8478915527e-11	7.3650094030e+00	2.1976675606e+03	2.1556728295e+03	5.2561794873e+02
1.5848930000e+00	1.1554160000e+14	5.4960394768e-11	6.8272468779e+00	2.1840182527e+03	2.1444936204e+03	5.4653659096e+02
1.6032450000e+00	1.1687920000e+14	5.1687128439e-11	6.3278633912e+00	2.1701293980e+03	2.1332512908e+03	5.6792304175e+02
1.6218100000e+00	1.1823310000e+14	4.8638953232e-11	5.8634095719e+00	2.1559526336e+03	2.1219080420e+03	5.8977265102e+02
1.6405900000e+00	1.1960220000e+14	4.5782010348e-11	5.4315891686e+00	2.1417384177e+03	2.1104604810e+03	6.1231463456e+02
1.6595870000e+00	1.2098690000e+14	4.3118269719e-11	5.0299449447e+00	2.1272533097e+03	2.0988802798e+03	6.3534677768e+02
1.6788040000e+00	1.2238760000e+14	4.0618351773e-11	4.6560968423e+00	2.1126732261e+03	2.0871480681e+03	6.5910252532e+02
1.6982440000e+00	1.2380550000e+14	3.8295445423e-11	4.3078075761e+00	2.0975883680e+03	2.0752151201e+03	6.8316341349e+02
1.7179080000e+00	1.2523880000e+14	3.6128955966e-11	3.9835193256e+00	2.0821262414e+03	2.0630767655e+03	7.0765271613e+02
1.7378010000e+00	1.2668870000e+14	3.4113440313e-11	3.6811708996e+00	2.0661079430e+03	2.0506962524e+03	7.3240993878e+02
1.7579240000e+00	1.2815590000e+14	3.2180310380e-11	3.3989545188e+00	2.0503679073e+03	2.0380801224e+03	7.5873585843e+02
1.7782790000e+00	1.2964000000e+14	3.0395329186e-11	3.1358529025e+00	2.0337601074e+03	2.0251656470e+03	7.8500764761e+02
1.7988710000e+00	1.3114080000e+14	2.8740012715e-11	2.8903710238e+00	2.0163092678e+03	2.0119016817e+03	8.1132977695e+02
1.8197010000e+00	1.3266000000e+14	2.7164510358e-11	2.6608708734e+00	1.9985669626e+03	1.9982643545e+03	8.3884220652e+02
1.8407720000e+00	1.3419580000e+14	2.5638503088e-11	2.4466733148e+00	1.9810191147e+03	1.9842901183e+03	8.6854963157e+02
1.8620870000e+00	1.3574950000e+14	2.4198193039e-11	2.2469060068e+00	1.9628738652e+03	1.9699107464e+03	8.9931097720e+02
1.8836490000e+00	1.3732170000e+14	2.2855890848e-11	2.0605671925e+00	1.9436229857e+03	1.9551468225e+03	9.3046138425e+02
1.9054610000e+00	1.3891130000e+14	2.1584601258e-11	1.8867777351e+00	1.9235517897e+03	1.9400015436e+03	9.6285874271e+02
1.9275250000e+00	1.4051990000e+14	2.0359822755e-11	1.7245804493e+00	1.9029390358e+03	1.9243543170e+03	9.9756279470e+02
1.9498450000e+00	1.4214780000e+14	1.9171689875e-11	1.5733776035e+00	1.8818949146e+03	1.9082401556e+03	1.0352814312e+03
1.9724230000e+00	1.4379350000e+14	1.8023968530e-11	1.4328063358e+00	1.8602828224e+03	1.8917228224e+03	1.0761686219e+03
1.9952620000e+00	1.4545810000e+14	1.6905515630e-11	1.3022572260e+00	1.8383261008e+03	1.8748437107e+03	1.1212843853e+03
2.0183660000e+00	1.4714260000e+14	1.5821823673e-11	1.1812429684e+00	1.8158235934e+03	1.8576316575e+03	1.1708407339e+03
2.0417380000e+00	1.4884690000e+14	1.4765499989e-11	1.0693343486e+00	1.7930787008e+03	1.8401642072e+03	1.2260683440e+03
2.0653800000e+00	1.5057050000e+14	1.3745312128e-11	9.6618316866e-01	1.7698812322e+03	1.8224771915e+03	1.2871201525e+03
2.0892960000e+00	1.5231370000e+14	1.2747260331e-11	8.7133221989e-01	1.7470665009e+03	1.8047153177e+03	1.3563413630e+03
2.1134890000e+00	1.5407700000e+14	1.1792615453e-11	7.8442864529e-01	1.7238855241e+03	1.7869883553e+03	1.4328073779e+03
2.1379620000e+00	1.5586130000e+14	1.0878942478e-11	7.0497472407e-01	1.7005899595e+03	1.7693678275e+03	1.5178166052e+03
2.1627190000e+00	1.5766640000e+14	1.0000536800e-11	6.3254845174e-01	1.6779267514e+03	1.7520133044e+03	1.6135738962e+03
2.1877620000e+00	1.5949200000e+14	9.1710080904e-12	5.6677162025e-01	1.6552831453e+03	1.7350381631e+03	1.7195018998e+03
2.2130950000e+00	1.6133880000e+14	8.3825365216e-12	5.0715881309e-01	1.6336088692e+03	1.7185712384e+03	1.8384441197e+03
2.2387210000e+00	1.6320690000e+14	7.6438142123e-12	4.5331283287e-01	1.6124391531e+03	1.7026441396e+03	1.9702508855e+03
2.2646440000e+00	1.6509660000e+14	6.9568772357e-12	4.0479078887e-01	1.5916067602e+03	1.6872807818e+03	2.1155461924e+03
2.2908680000e+00	1.6700850000e+14	6.3194055479e-12	3.6114148314e-01	1.5713245227e+03	1.6725154479e+03	2.2759538488e+03
2.3173950000e+00	1.6894250000e+14	5.7294825991e-12	3.2195718635e-01	1.5518078763e+03	1.6583773048e+03	2.4531643680e+03
2.3442290000e+00	1.7089880000e+14	5.1851526383e-12	2.8684718708e-01	1.5332504692e+03	1.6448759838e+03	2.6490049715e+03
2.3713740000e+00	1.7287790000e+14	4.6864352533e-12	2.5544201314e-01	1.5153358970e+03	1.6319804693e+03	2.8641962070e+03
2.3988330000e+00	1.7487980000e+14	4.2309449290e-12	2.2739199474e-01	1.4980719022e+03	1.6196703179e+03	3.1003396158e+03
2.4266100000e+00	1.7690480000e+14	3.8162785659e-12	2.0236684113e-01	1.4813823276e+03	1.6079331249e+03	3.3589836350e+03
2.4547090000e+00	1.7895310000e+14	3.4387788676e-12	1.8005846922e-01	1.4655208455e+03	1.5967684932e+03	3.6428846654e+03
2.4831330000e+00	1.8102520000e+14	3.0964166408e-12	1.6019029798e-01	1.4502910138e+03	1.5861327465e+03	3.9535873384e+03
2.5118860000e+00	1.8312150000e+14	2.7871476500e-12	1.4250838080e-01	1.4353949081e+03	1.5759793541e+03	4.2923055726e+03
2.5409730000e+00	1.8524210000e+14	2.5076574569e-12	1.2677943426e-01	1.4210202554e+03	1.5662857714e+03	4.6621040597e+03
2.5703960000e+00	1.8738720000e+14	2.2552885682e-12	1.1279422423e-01	1.4072092550e+03	1.5570245690e+03	5.0657961898e+03
2.6001600000e+00	1.8955700000e+14	2.0276472759e-12	1.0036490617e-01	1.3939696965e+03	1.5481684392e+03	5.5062708186e+03
2.6302680000e+00	1.9175190000e+14	1.8227158983e-12	8.9321448917e-02	1.3811538837e+03	1.5396889524e+03	5.9859229645e+03
2.6607250000e+00	1.9397220000e+14	1.6382419754e-12	7.9510329946e-02	1.3688230601e+03	1.5315656066e+03	6.5083685139e+03
2.6915350000e+00	1.9621820000e+14	1.4722888447e-12	7.0795285773e-02	1.3569720248e+03	1.5237736791e+03	7.0771301134e+03
2.7227010000e+00	1.9849020000e+14	1.3230855425e-12	6.3054575833e-02	1.3455899812e+03	1.5162897763e+03	7.6959499299e+03
2.7542290000e+00	2.0078860000e+14	1.1889931848e-12	5.6179196768e-02	1.3346754758e+03	1.5090921405e+03	8.3689364268e+03
2.7861210000e+00	2.0311360000e+14	1.0685403171e-12	5.0072627254e-02	1.3242176803e+03	1.5021609293e+03	9.1003519973e+03
2.8183830000e+00	2.0546550000e+14	9.6038128142e-13	4.4648551066e-02	1.3142025710e+03	1.4954773199e+03	9.8947522229e+03
2.8510180000e+00	2.0784450000e+14	8.6330564362e-13	3.9830350274e-02	1.3046032118e+03	1.4890238216e+03	1.0756823582e+04
2.8840320000e+00	2.1025120000e+14	7.7619109040e-13	3.5549072972e-02	1.2953972050e+03	1.4827839329e+03	1.1691744404e+04
2.9174270000e+00	2.1268570000e+14	6.9803948753e-13	3.1744258947e-02	1.2865586516e+03	1.4767448323e+03	1.2704792034e+04
2.9512090000e+00	2.1514830000e+14	6.2793595429e-13	2.8361789552e-02	1.2780630515e+03	1.4708938661e+03	1.3801685489e+04
2.9853830000e+00	2.1763960000e+14	5.6504640140e-13	2.5353443164e-02	1.2698911132e+03	1.4652178809e+03	1.4988650437e+04
3.0199520000e+00	2.2015980000e+14	5.0862959357e-13	2.2676977633e-02	1.2620256537e+03	1.4597058619e+03	1.6272113846e+04
3.0549210000e+00	2.2270910000e+14	4.5801539252e-13	2.0294880014e-02	1.2544530903e+03	1.4545153984e+03	1.7658946998e+04
3.0902950000e+00	2.2528800000e+14	4.1259399804e-13	1.8173621084e-02	1.2471628164e+03	1.4494828639e+03	1.9156710677e+04
3.1260790000e+00	2.2789680000e+14	3.7182257783e-13	1.6283701018e-02	1.2401449556e+03	1.4445834954e+03	2.0773368525e+04
3.1622780000e+00	2.3053570000e+14	3.3521683993e-13	1.4599051762e-02	1.2333862476e+03	1.4398102207e+03	2.2517289915e+04
3.1988950000e+00	2.3320530000e+14	3.0233571511e-13	1.3096332078e-02	1.2268767915e+03	1.4351559737e+03	2.4397832384e+04
3.2359370000e+00	2.3590580000e+14	2.7278929223e-13	1.1755121849e-02	1.2206093865e+03	1.4306151081e+03	2.6424830079e+04
3.2734070000e+00	2.3863760000e+14	2.4622595053e-13	1.0557226249e-02	1.2145773479e+03	1.4261822167e+03	2.8609116797e+04
3.3113110000e+00	2.4140100000e+14	2.2233190731e-13	9.4865794619e-03	1.2087757910e+03	1.4218524878e+03	3.0962455055e+04
3.3496540000e+00	2.4419630000e+14	2.0082566817e-13	8.5289442217e-03	1.2032039417e+03	1.4176215339e+03	3.3497875743e+04
3.3884420000e+00	2.4702390000e+14	1.8145480974e-13	7.6716758371e-03	1.1978624166e+03	1.4134854112e+03	3.6229938440e+04
3.4276780000e+00	2.4988420000e+14	1.6399386997e-13	6.9035579702e-03	1.1927502059e+03	1.4094407294e+03	3.9174932085e+04
3.4673690000e+00	2.5277770000e+14	1.4824062804e-13	6.2146142145e-03	1.1878647561e+03	1.4054840413e+03	4.2351441394e+04
3.5075190000e+00	2.5570460000e+14	1.3401671483e-13	5.5961097403e-03	1.1832055216e+03	1.4016124743e+03	4.5780073166e+04
3.5481340000e+00	2.5866540000e+14	1.2116082181e-13	5.0402180761e-03	1.1787717698e+03	1.3978229227e+03	4.9484969602e+04
3.5892190000e+00	2.6166060000e+14	1.0952851097e-13	4.5399893261e-03	1.1745634835e+03	1.3941124989e+03	5.3494376034e+04
3.6307810000e+00	2.6469050000e+14	9.8991200972e-14	4.0892733971e-03	1.1705794052e+03	1.3904786126e+03	5.7841372451e+04
3.6728230000e+00	2.6775550000e+14	8.9433468126e-14	3.6825713603e-03	1.1668122063e+03	1.3869183469e+03	6.2565526959e+04
3.7153520000e+00	2.7085600000e+14	8.0751252943e-14	3.3149678499e-03	1.1632530561e+03	1.3834286025e+03	6.7715189722e+04
3.7583740000e+00	2.7399240000e+14	7.2850574024e-14	2.9820547896e-03	1.1598891409e+03	1.3800055450e+03	7.3350465519e+04
3.8018940000e+00	2.7716510000e+14	6.5646087798e-14	2.6798594043e-03	1.1567027113e+03	1.3766439092e+03	7.9547753709e+04
3.8459180000e+00	2.8037460000e+14	5.9059467189e-14	2.4047676922e-03	1.1536702053e+03	1.3733355435e+03	8.6406911760e+04
3.8904510000e+00	2.8362120000e+14	5.3018714029e-14	2.1534878682e-03	1.1507613581e+03	1.3700671369e+03	9.4061301520e+04
3.9355010000e+00	2.8690540000e+14	4.7456117391e-14	1.9229562621e-03	1.1479359906e+03	1.3668147522e+03	1.0269545287e+05
3.9810720000e+00	2.9022760000e+14	4.2309239775e-14	1.7103324992e-03	1.1451194889e+03	1.3635345369e+03	1.1256758068e+05
4.0271700000e+00	2.9358830000e+14	3.7515633393e-14	1.5128980525e-03	1.1422597107e+03	1.3601442976e+03	1.2406365101e+05
4.0738030000e+00	2.9698790000e+14	3.3017776670e-14	1.3281368055e-03	1.1392634407e+03	1.3564889953e+03	1.3776026595e+05
4.1209750000e+00	3.0042680000e+14	2.8761786157e-14	1.1537740684e-03	1.1360432508e+03	1.3522183931e+03	1.5455641941e+05
4.1686940000e+00	3.0390560000e+14	2.4682685868e-14	9.8696547055e-04	1.1325997552e+03	1.3469876428e+03	1.7597353651e+05
4.2169650000e+00	3.0742470000e+14	1.8871902944e-14	7.5192941505e-04	1.1287323357e+03	1.3399244973e+03	2.2491172419e+05
4.2657950000e+00	3.1098450000e+14	1.5111796845e-14	5.9941232766e-04	1.1243506659e+03	1.3331661088e+03	2.7441590439e+05
4.3151910000e+00	3.1458560000e+14	1.1807066961e-14	4.6602881725e-04	1.1192907978e+03	1.3233529848e+03	3.4334341101e+05
4.3651580000e+00	3.1822840000e+14	9.1902385087e-15	3.6040059120e-04	1.1133292582e+03	1.3023922009e+03	4.3113751654e+05
4.4157040000e+00	3.2191340000e+14	7.1984835997e-15	2.7993049405e-04	1.1060116763e+03	1.2752443551e+03	5.3793111753e+05
4.4668360000e+00	3.2564100000e+14	5.7788948238e-15	2.2210813190e-04	1.0948560081e+03	1.2490192326e+03	6.5481008363e+05
4.5185590000e+00	3.2941180000e+14	4.8139987944e-15	1.8317884041e-04	1.0840915250e+03	1.2260725084e+03	7.6812666834e+05
4.5708820000e+00	3.3322630000e+14	4.1566994438e-15	1.5675284427e-04	1.0745243540e+03	1.2020774598e+03	8.6929876803e+05
4.6238100000e+00	3.3708490000e+14	3.6908622903e-15	1.3791170072e-04	1.0648052585e+03	1.1803409375e+03	9.5669578214e+05
4.6773510000e+00	3.4098810000e+14	3.3430523902e-15	1.2371656606e-04	1.0546854939e+03	1.1600324315e+03	1.0321612431e+06
4.7315130000e+00	3.4493660000e+14	3.0704697905e-15	1.1244466917e-04	1.0437792977e+03	1.1417934604e+03	1.0981918336e+06
4.7863010000e+00	3.4893070000e+14	2.8483333644e-15	1.0316368487e-04	1.0323834944e+03	1.1249179805e+03	1.1568772430e+06
4.8417240000e+00	3.5297110000e+14	2.6617401603e-15	9.5326758987e-05	1.0208887382e+03	1.1092723311e+03	1.2097873509e+06
4.8977880000e+00	3.5705830000e+14	2.5013144851e-15	8.8573249118e-05	1.0094443796e+03	1.0944829507e+03	1.2580680164e+06
4.9545020000e+00	3.6119290000e+14	2.3608892865e-15	8.2663077030e-05	9.9815625506e+02	1.0800268069e+03	1.3025522384e+06
5.0118720000e+00	3.6537520000e+14	2.2362306583e-15	7.7424186370e-05	9.8703750933e+02	1.0661565079e+03	1.3438583770e+06
5.0699070000e+00	3.6960610000e+14	2.1243008340e-15	7.2732305989e-05	9.7609766067e+02	1.0529294663e+03	1.3824626101e+06
5.1286140000e+00	3.7388590000e+14	2.0228779623e-15	6.8495532673e-05	9.6534100564e+02	1.0402606127e+03	1.4187292826e+06
5.1880000000e+00	3.7821520000e+14	1.9302734631e-15	6.4642778972e-05	9.5475960509e+02	1.0280829457e+03	1.4529494386e+06
5.2480750000e+00	3.8259470000e+14	1.8451773247e-15	6.1118268178e-05	9.4434187083e+02	1.0163429089e+03	1.4853586635e+06
5.3088440000e+00	3.8702490000e+14	1.7665576784e-15	5.7877822284e-05	9.3407814682e+02	1.0049975541e+03	1.5161488527e+06
5.3703180000e+00	3.9150640000e+14	1.6935828541e-15	5.4885676497e-05	9.2396019971e+02	9.9401119320e+02	1.5454803837e+06
5.4325030000e+00	3.9603980000e+14	1.6255738192e-15	5.2112567494e-05	9.1398228433e+02	9.8335390511e+02	1.5734884436e+06
5.4954090000e+00	4.0062570000e+14	1.5619694646e-15	4.9536000098e-05	9.0417253674e+02	9.7300025131e+02	1.6002875934e+06
5.5590430000e+00	4.0526460000e+14	1.5023060226e-15	4.7135922666e-05	8.9453458696e+02	9.6292885062e+02	1.6259707378e+06
5.6234130000e+00	4.0995730000e+14	1.4461808296e-15	4.4893376590e-05	8.8504050727e+02	9.5312051903e+02	1.6506268841e+06
5.6885290000e+00	4.1470440000e+14	1.3932530954e-15	4.2792636391e-05	8.7558904859e+02	9.4355855785e+02	1.6743326658e+06
5.7543990000e+00	4.1950640000e+14	1.3432307275e-15	4.0820264013e-05	8.6625718556e+02	9.3422838506e+02	1.6971551273e+06
5.8210320000e+00	4.2436400000e+14	1.2958583791e-15	3.8963715533e-05	8.5702540750e+02	9.2511664472e+02	1.7191549028e+06
5.8884370000e+00	4.2927790000e+14	1.2509139570e-15	3.7213906585e-05	8.4789248581e+02	9.1621137478e+02	1.7403852412e+06
5.9566210000e+00	4.3424880000e+14	1.2082022395e-15	3.5562198324e-05	8.3885288991e+02	9.0750179356e+02	1.7608941981e+06
6.0255960000e+00	4.3927720000e+14	1.1675523563e-15	3.4000835036e-05	8.2989989446e+02	8.9897846334e+02	1.7807244179e+06
6.0953690000e+00	4.4436390000e+14	1.1288102667e-15	3.2522823515e-05	8.2102644118e+02	8.9063229835e+02	1.7999156472e+06
6.1659500000e+00	4.4950940000e+14	1.0918407997e-15	3.1122081697e-05	8.1222794582e+02	8.8245546385e+02	1.8185028879e+06
6.2373480000e+00	4.5471450000e+14	1.0565210770e-15	2.9794419476e-05	8.0351450270e+02	8.7444028779e+02	1.8365185325e+06
6.3095730000e+00	4.5997990000e+14	1.0227445353e-15	2.8535760799e-05	7.9493929278e+02	8.6658019520e+02	1.8539858480e+06
6.3826350000e+00	4.6530630000e+14	9.9041056956e-16	2.7340533076e-05	7.8646604808e+02	8.5886915585e+02	1.8709335007e+06
6.4565420000e+00	4.7069440000e+14	9.5942831895e-16	2.6204346386e-05	7.7808522277e+02	8.5130125948e+02	1.8873874700e+06
6.5313060000e+00	4.7614480000e+14	9.2971578662e-16	2.5123277454e-05	7.6978913572e+02	8.4387113197e+02	1.9033713837e+06
6.6069340000e+00	4.8165840000e+14	9.0119669631e-16	2.4093728574e-05	7.6157104197e+02	8.3657337451e+02	1.9189078625e+06
6.6834390000e+00	4.8723570000e+14	8.7380336977e-16	2.3112499180e-05	7.5342559465e+02	8.2940347093e+02	1.9340166998e+06
6.7608300000e+00	4.9287760000e+14	8.4747186447e-16	2.2176589042e-05	7.4534714934e+02	8.2235670675e+02	1.9487172321e+06
6.8391160000e+00	4.9858490000e+14	8.2214395467e-16	2.1283256379e-05	7.3733023532e+02	8.1542880560e+02	1.9630270958e+06
6.9183100000e+00	5.0435820000e+14	7.9776685961e-16	2.0430001229e-05	7.2936961408e+02	8.0861600266e+02	1.9769621780e+06
6.9984200000e+00	5.1019840000e+14	7.7429062147e-16	1.9614485976e-05	7.2146007613e+02	8.0191442715e+02	1.9905378994e+06
7.0794580000e+00	5.1610620000e+14	7.5166987042e-16	1.8834644087e-05	7.1359873495e+02	7.9532067982e+02	2.0037680202e+06
7.1614340000e+00	5.2208250000e+14	7.2986191548e-16	1.8088861874e-05	7.0578955779e+02	7.8883136689e+02	2.0166654360e+06
7.2443600000e+00	5.2812790000e+14	7.0882924144e-16	1.7376371590e-05	6.9807022516e+02	7.8244376826e+02	2.0292383794e+06
7.3282450000e+00	5.3424330000e+14	6.8853456218e-16	1.6692736597e-05	6.9034928854e+02	7.7615514743e+02	2.0414985559e+06
7.4131020000e+00	5.4042960000e+14	6.6894203812e-16	1.6031386862e-05	6.8241235254e+02	7.6996287621e+02	2.0534603055e+06
7.4989420000e+00	5.4668750000e+14	6.5001740108e-16	1.5378361576e-05	6.7374952451e+02	7.6386471602e+02	2.0651416204e+06
7.5857760000e+00	5.5301780000e+14	6.3172708625e-16	1.4707262968e-05	6.6333224586e+02	7.5785894134e+02	2.0765645095e+06
7.6736150000e+00	5.5942140000e+14	6.1404673530e-16	1.4002742213e-05	6.5025360158e+02	7.5194512942e+02	2.0877264028e+06
7.7624710000e+00	5.6589920000e+14	5.9697213009e-16	1.3335116377e-05	6.3701772483e+02	7.4612376794e+02	2.0985578968e+06
7.8523560000e+00	5.7245200000e+14	5.8048720705e-16	1.2772634411e-05	6.2693057099e+02	7.4039310053e+02	2.1090281524e+06
7.9432820000e+00	5.7908060000e+14	5.6455474590e-16	1.2286776316e-05	6.2037240341e+02	7.3474904490e+02	2.1191861280e+06
8.0352610000e+00	5.8578600000e+14	5.4914639912e-16	1.1883399011e-05	6.1476269551e+02	7.2918653672e+02	2.1290558757e+06
8.1283050000e+00	5.9256910000e+14	5.3422700201e-16	1.1499431244e-05	6.1037401919e+02	7.2370158487e+02	2.1386973894e+06
8.2224260000e+00	5.9943060000e+14	5.1977776333e-16	1.1139798748e-05	6.0642104048e+02	7.1829213148e+02	2.1481156591e+06
8.3176380000e+00	6.0637170000e+14	5.0577317714e-16	1.0767590725e-05	6.0585284087e+02	7.1295620676e+02	2.1573447690e+06
8.4139510000e+00	6.1339310000e+14	4.9220424310e-16	1.0425840931e-05	6.0413205094e+02	7.0769220216e+02	2.1663572365e+06
8.5113800000e+00	6.2049580000e+14	4.7905173798e-16	1.0104705328e-05	6.0160077062e+02	7.0249772818e+02	2.1751693788e+06
8.6099380000e+00	6.2768080000e+14	4.6630292215e-16	9.8234134355e-06	5.9817261907e+02	6.9737046773e+02	2.1837722028e+06
8.7096360000e+00	6.3494890000e+14	4.5393415942e-16	9.5350895246e-06	5.9528019492e+02	6.9230863161e+02	2.1922128955e+06
8.8104890000e+00	6.4230130000e+14	4.4193015940e-16	9.2315937519e-06	5.9527826829e+02	6.8731090366e+02	2.2005027213e+06
