#optical properties of fine amorphous carbon grains, Maron 1989, last point extrapolated
#number of data points: 135
#Lambda [µm]	real part	imaginary part
289.00	2.585	0.325
271.00	2.575	0.321
255.00	2.551	0.319
240.00	2.540	0.314
227.00	2.525	0.311
205.00	2.501	0.307
187.00	2.482	0.289
166.00	2.462	0.297
148.00	2.437	0.280
134.00	2.418	0.279
123.00	2.405	0.276
116.00	2.398	0.274
110.00	2.384	0.275
105.00	2.380	0.270
101.00	2.374	0.270
98.60	2.370	0.266
96.30	2.366	0.262
94.20	2.359	0.258
93.90	2.361	0.258
90.90	2.356	0.255
88.10	2.349	0.250
85.40	2.343	0.248
82.90	2.343	0.246
80.50	2.337	0.243
78.30	2.335	0.241
76.20	2.330	0.239
74.20	2.324	0.236
72.30	2.322	0.235
70.50	2.320	0.234
68.80	2.316	0.231
67.10	2.310	0.232
64.80	2.307	0.226
62.00	2.301	0.226
59.40	2.296	0.226
57.00	2.293	0.227
54.80	2.283	0.226
52.70	2.281	0.222
50.80	2.279	0.220
49.10	2.271	0.220
47.40	1.954	0.191
45.10	2.227	0.210
43.60	1.988	0.188
42.10	2.002	0.189
40.40	1.906	0.185
39.70	1.915	0.190
37.20	1.915	0.189
35.80	1.878	0.185
34.60	1.909	0.188
33.40	1.914	0.188
32.40	1.912	0.188
31.30	1.912	0.188
30.50	1.958	0.190
29.90	1.957	0.191
29.10	1.956	0.191
28.10	1.905	0.186
26.90	1.952	0.187
26.40	1.951	0.188
25.70	1.950	0.189
25.00	1.942	0.186
24.10	1.939	0.186
23.30	1.941	0.186
22.80	1.939	0.186
22.40	1.937	0.186
21.90	1.945	0.185
21.40	1.942	0.186
21.00	1.948	0.185
20.60	1.945	0.185
20.30	1.943	0.185
20.00	1.941	0.187
19.60	1.937	0.186
19.40	1.935	0.187
19.00	2.218	0.202
18.70	2.217	0.207
18.30	2.064	0.195
17.90	2.212	0.206
17.50	2.210	0.205
17.10	2.207	0.205
16.70	2.205	0.205
15.40	1.984	0.194
14.30	1.968	0.186
13.30	1.954	0.195
12.50	2.174	0.234
11.80	2.172	0.241
11.10	2.158	0.238
10.50	2.145	0.228
10.00	2.136	0.235
9.25	2.105	0.229
9.09	2.100	0.241
8.70	2.086	0.248
8.33	2.084	0.251
8.00	2.070	0.246
7.69	2.100	0.242
7.41	2.089	0.236
7.14	2.042	0.226
6.90	2.066	0.224
6.67	2.055	0.218
6.45	2.097	0.219
6.26	2.073	0.215
6.06	2.067	0.212
5.88	2.068	0.211
5.71	2.065	0.211
5.56	2.061	0.211
5.41	2.062	0.212
5.26	2.059	0.213
5.13	2.059	0.215
5.00	2.055	0.214
4.76	2.049	0.216
4.55	2.049	0.220
4.35	2.042	0.221
4.17	2.038	0.223
4.00	2.034	0.224
3.85	2.032	0.226
3.70	2.029	0.226
3.57	2.024	0.229
3.45	2.016	0.229
3.33	2.022	0.228
3.13	2.018	0.230
2.88	2.014	0.223
2.56	2.008	0.217
2.50	2.004	0.228
2.40	1.901	0.220
2.30	1.754	0.210
2.20	1.743	0.211
2.10	1.879	0.218
2.00	1.883	0.222
1.90	1.871	0.221
1.80	1.857	0.222
1.70	1.883	0.228
1.60	1.854	0.226
1.50	1.856	0.229
1.40	1.811	0.227
1.30	1.846	0.229
1.21	1.852	0.227
1.10	1.808	0.225
1.00	1.799	0.228
1e-3	1.799	0.228
