#optical properties of fine amorphous carbon grains, Rouleau & Martin (1991), ApJ 377, 526
#number of data points: 241
#Lambda [µm]	real part	imaginary part
300.422064	2.928000e+00	2.761000e-01
283.781611	2.900000e+00	2.845000e-01
268.131890	2.880000e+00	2.824000e-01
253.287407	2.861000e+00	2.832000e-01
239.305512	2.844000e+00	2.793000e-01
226.042271	2.831000e+00	2.785000e-01
213.544929	2.815000e+00	2.793000e-01
201.764338	2.796000e+00	2.739000e-01
190.598287	2.787000e+00	2.636000e-01
180.052550	2.783000e+00	2.632000e-01
170.097662	2.771000e+00	2.693000e-01
160.684533	2.753000e+00	2.680000e-01
151.811174	2.741000e+00	2.600000e-01
143.417219	2.735000e+00	2.563000e-01
135.487035	2.727000e+00	2.577000e-01
127.990282	2.715000e+00	2.579000e-01
120.960181	2.703000e+00	2.559000e-01
114.271139	2.692000e+00	2.535000e-01
107.906167	2.682000e+00	2.519000e-01
101.960679	2.669000e+00	2.511000e-01
96.335809	2.656000e+00	2.447000e-01
90.964186	2.648000e+00	2.400000e-01
85.980711	2.639000e+00	2.343000e-01
81.194621	2.632000e+00	2.304000e-01
76.722887	2.624000e+00	2.267000e-01
72.462996	2.618000e+00	2.230000e-01
68.461726	2.611000e+00	2.200000e-01
64.676153	2.606000e+00	2.158000e-01
61.106055	2.602000e+00	2.161000e-01
57.720757	2.594000e+00	2.174000e-01
54.522509	2.585000e+00	2.169000e-01
51.509840	2.577000e+00	2.144000e-01
48.678518	2.569000e+00	2.112000e-01
45.971148	2.563000e+00	2.087000e-01
43.442251	2.558000e+00	2.072000e-01
41.040776	2.552000e+00	2.066000e-01
38.769289	2.546000e+00	2.065000e-01
36.627529	2.539000e+00	2.065000e-01
34.593802	2.532000e+00	2.061000e-01
32.687631	2.526000e+00	2.057000e-01
30.880246	2.519000e+00	2.050000e-01
29.172750	2.512000e+00	2.047000e-01
27.558165	2.505000e+00	2.044000e-01
26.036158	2.474000e+00	2.040000e-01
24.595157	2.469000e+00	2.038000e-01
23.235417	2.463000e+00	2.030000e-01
21.951874	2.459000e+00	2.016000e-01
20.736609	2.454000e+00	2.000000e-01
19.589854	2.449000e+00	1.998000e-01
18.507865	2.445000e+00	1.994000e-01
17.484725	2.440000e+00	1.981000e-01
16.518010	2.436000e+00	1.985000e-01
15.603346	2.432000e+00	1.976000e-01
14.740719	2.429000e+00	1.956000e-01
13.926113	2.432000e+00	1.941000e-01
13.156217	2.442000e+00	2.076000e-01
12.428246	2.425000e+00	2.351000e-01
11.740927	2.403000e+00	2.329000e-01
11.089820	2.388000e+00	2.314000e-01
10.480489	2.384000e+00	2.224000e-01
9.902890	2.380000e+00	2.319000e-01
9.350240	2.370000e+00	2.362000e-01
8.837077	2.358000e+00	2.454000e-01
8.349103	2.337000e+00	2.496000e-01
7.887035	2.317000e+00	2.429000e-01
7.450973	2.306000e+00	2.336000e-01
7.036560	2.296000e+00	2.253000e-01
6.647946	2.291000e+00	2.170000e-01
6.280860	2.288000e+00	2.126000e-01
5.932258	2.285000e+00	2.100000e-01
5.605072	2.283000e+00	2.097000e-01
5.296206	2.279000e+00	2.119000e-01
5.003397	2.273000e+00	2.137000e-01
4.726808	2.268000e+00	2.165000e-01
4.464681	2.261000e+00	2.203000e-01
4.217149	2.251000e+00	2.230000e-01
3.984068	2.243000e+00	2.231000e-01
3.763940	2.236000e+00	2.249000e-01
3.556632	2.225000e+00	2.286000e-01
3.360005	2.215000e+00	2.278000e-01
3.174198	2.205000e+00	2.283000e-01
2.998408	2.194000e+00	2.249000e-01
2.832629	2.189000e+00	2.207000e-01
2.676110	2.185000e+00	2.211000e-01
2.528226	2.179000e+00	2.237000e-01
2.387985	2.170000e+00	2.258000e-01
2.256309	2.162000e+00	2.262000e-01
2.131411	2.156000e+00	2.269000e-01
2.013711	2.148000e+00	2.313000e-01
1.902181	2.138000e+00	2.313000e-01
1.797133	2.130000e+00	2.335000e-01
1.697716	2.119000e+00	2.349000e-01
1.603935	2.110000e+00	2.326000e-01
1.515143	2.103000e+00	2.345000e-01
1.431357	2.093000e+00	2.357000e-01
1.352211	2.083000e+00	2.354000e-01
1.277529	2.074000e+00	2.345000e-01
1.207246	2.066000e+00	2.332000e-01
1.140609	2.059000e+00	2.317000e-01
1.077187	2.053000e+00	2.321000e-01
1.017933	2.045000e+00	2.346000e-01
0.961118	2.034000e+00	2.356000e-01
0.908309	2.024000e+00	2.339000e-01
0.858022	2.015000e+00	2.299000e-01
0.810354	2.010000e+00	2.262000e-01
0.765807	2.005000e+00	2.250000e-01
0.723362	2.000000e+00	2.233000e-01
0.683485	1.997000e+00	2.222000e-01
0.645415	1.994000e+00	2.234000e-01
0.609858	1.991000e+00	2.252000e-01
0.576135	1.987000e+00	2.291000e-01
0.544268	1.980000e+00	2.321000e-01
0.514244	1.974000e+00	2.314000e-01
0.485831	1.970000e+00	2.310000e-01
0.458861	1.968000e+00	2.321000e-01
0.433511	1.966000e+00	2.326000e-01
0.409594	1.965000e+00	2.328000e-01
0.386967	1.967000e+00	2.339000e-01
0.365519	1.970000e+00	2.360000e-01
0.345360	1.976000e+00	2.381000e-01
0.326188	1.987000e+00	2.404000e-01
0.308188	2.012000e+00	2.521000e-01
0.291111	2.026000e+00	2.884000e-01
0.275031	2.022000e+00	3.229000e-01
0.259816	2.014000e+00	3.429000e-01
0.245465	2.022000e+00	3.610000e-01
0.231920	2.039000e+00	4.006000e-01
0.219092	2.038000e+00	4.704000e-01
0.206951	1.995000e+00	5.384000e-01
0.195528	1.926000e+00	5.833000e-01
0.184720	1.885000e+00	5.929000e-01
0.174503	1.783000e+00	5.068000e-01
0.164851	1.825000e+00	4.782000e-01
0.155739	1.869000e+00	4.792000e-01
0.147127	1.918000e+00	5.194000e-01
0.138996	1.950000e+00	6.073000e-01
0.131311	1.935000e+00	7.108000e-01
0.124046	1.887000e+00	8.081000e-01
0.117187	1.812000e+00	8.909000e-01
0.110700	1.720000e+00	9.473000e-01
0.104628	1.635000e+00	9.959000e-01
0.098792	1.529000e+00	1.042000e+00
0.093362	1.406000e+00	1.059000e+00
0.088182	1.291000e+00	1.049000e+00
0.083323	1.185000e+00	1.018000e+00
0.078720	1.090000e+00	9.824000e-01
0.074331	1.000000e+00	9.347000e-01
0.070246	9.196000e-01	8.775000e-01
0.066337	8.498000e-01	8.135000e-01
0.062682	7.893000e-01	7.433000e-01
0.059209	7.397000e-01	6.671000e-01
0.055950	7.041000e-01	5.847000e-01
0.052849	6.851000e-01	5.020000e-01
0.049933	6.804000e-01	4.245000e-01
0.047160	6.869000e-01	3.548000e-01
0.044567	7.009000e-01	2.943000e-01
0.042100	7.200000e-01	2.433000e-01
0.039764	7.414000e-01	2.012000e-01
0.037571	7.629000e-01	1.665000e-01
0.035495	7.847000e-01	1.380000e-01
0.033527	8.031000e-01	1.146000e-01
0.031677	8.254000e-01	9.556000e-02
0.029926	8.385000e-01	7.913000e-02
0.028268	8.551000e-01	6.579000e-02
0.026709	8.698000e-01	5.446000e-02
0.025231	8.830000e-01	4.493000e-02
0.023834	8.952000e-01	3.691000e-02
0.022518	9.063000e-01	3.024000e-02
0.021274	9.165000e-01	2.476000e-02
0.020098	9.257000e-01	2.030000e-02
0.018987	9.340000e-01	1.670000e-02
0.017935	9.411000e-01	1.381000e-02
0.016945	9.485000e-01	1.153000e-02
0.016006	9.537000e-01	9.688000e-03
0.015122	9.585000e-01	8.168000e-03
0.014286	9.634000e-01	6.877000e-03
0.013496	9.673000e-01	5.747000e-03
0.012750	9.709000e-01	4.755000e-03
0.012049	9.742000e-01	3.925000e-03
0.011375	9.771000e-01	3.266000e-03
0.010753	9.797000e-01	2.752000e-03
0.010154	9.820000e-01	2.340000e-03
0.009596	9.840000e-01	1.986000e-03
0.009063	9.858000e-01	1.667000e-03
0.008562	9.874000e-01	1.384000e-03
0.008088	9.889000e-01	1.148000e-03
0.007644	9.902000e-01	9.529000e-04
0.007221	9.914000e-01	7.905000e-04
0.006820	9.924000e-01	6.552000e-04
0.006444	9.934000e-01	5.430000e-04
0.006087	9.943000e-01	4.479000e-04
0.005751	9.951000e-01	3.686000e-04
0.005433	9.958000e-01	3.031000e-04
0.005132	9.966000e-01	2.492000e-04
0.004849	9.974000e-01	2.048000e-04
0.004580	9.987000e-01	1.687000e-04
0.004328	9.992000e-01	3.521000e-03
0.004088	9.983000e-01	2.903000e-03
0.003861	9.975000e-01	2.390000e-03
0.003648	9.974000e-01	1.971000e-03
0.003447	9.975000e-01	1.622000e-03
0.003256	9.976000e-01	1.327000e-03
0.003076	9.978000e-01	1.079000e-03
0.002906	9.980000e-01	8.872000e-04
0.002745	9.981000e-01	7.315000e-04
0.002593	9.983000e-01	5.982000e-04
0.002450	9.985000e-01	4.893000e-04
0.002314	9.986000e-01	4.028000e-04
0.002187	9.987000e-01	3.280000e-04
0.002066	9.989000e-01	2.675000e-04
0.001951	9.990000e-01	2.178000e-04
0.001844	9.991000e-01	1.759000e-04
0.001742	9.992000e-01	1.452000e-04
0.001645	9.993000e-01	1.174000e-04
0.001554	9.993000e-01	9.461000e-05
0.001468	9.994000e-01	7.664000e-05
0.001387	9.995000e-01	6.182000e-05
0.001310	1.000000e+00	4.991000e-05
0.001239	1.000000e+00	4.037000e-05
0.001170	1.000000e+00	3.242000e-05
0.001105	1.000000e+00	2.617000e-05
0.001044	1.000000e+00	2.108000e-05
0.000986	1.000000e+00	1.686000e-05
0.000932	1.000000e+00	1.351000e-05
0.000880	1.000000e+00	1.085000e-05
0.000832	1.000000e+00	8.722000e-06
0.000786	1.000000e+00	6.991000e-06
0.000742	1.000000e+00	5.601000e-06
0.000701	1.000000e+00	4.480000e-06
0.000662	1.000000e+00	3.581000e-06
0.000626	1.000000e+00	2.860000e-06
0.000591	1.000000e+00	2.285000e-06
0.000558	1.000000e+00	1.829000e-06
0.000528	1.000000e+00	1.458000e-06
0.000498	1.000000e+00	1.161000e-06
0.000471	1.000000e+00	9.247000e-07
0.000445	1.000000e+00	7.378000e-07
0.000420	1.000000e+00	5.883000e-07
0.000397	1.000000e+00	4.688000e-07
0.000375	1.000000e+00	3.731000e-07
0.000354	1.000000e+00	2.964000e-07
